bigram,n,total_sentiment
pretty fun,4186,positive
pretty cool,2303,positive
super fun,2052,positive
pretty decent,1186,positive
incredibly fun,991,positive
pretty easy,977,positive
pretty awesome,924,positive
pretty nice,853,positive
pretty solid,790,positive
zombie survival,777,positive
fairly easy,570,positive
super hot,543,positive
amazingly fun,489,positive
pretty fast,471,positive
pretty neat,441,positive
pros fun,441,positive
hot super,432,positive
perfectly fine,428,positive
fun fast,426,positive
cons pros,423,positive
super easy,373,positive
pure fun,369,positive
rogue likes,369,positive
fun fun,353,positive
love amazing,348,positive
damn fun,326,positive
enemy variety,324,positive
freaking awesome,312,positive
pros amazing,308,positive
insanely fun,301,positive
pretty amazing,292,positive
bug free,278,positive
pretty sweet,263,positive
super cool,263,positive
pros nice,256,positive
dark humor,250,positive
wholeheartedly recommend,236,positive
super fast,235,positive
awesome fun,232,positive
love love,226,positive
boring fast,224,positive
bad luck,223,positive
fun easy,222,positive
pros beautiful,221,positive
crazy fun,216,positive
incredibly easy,214,positive
fairly decent,213,positive
lack luster,211,positive
amazing fun,207,positive
fun free,206,positive
super awesome,203,positive
nice variety,196,positive
super hero,192,positive
incredibly satisfying,189,positive
passive skill,183,positive
heartily recommend,181,positive
pretty enjoyable,179,positive
mindless fun,175,positive
overwhelmingly positive,175,positive
awe inspiring,171,positive
fun worth,171,positive
freaking amazing,166,positive
cringe worthy,161,positive
dead redemption,149,positive
amazing amazing,144,positive
pretty entertaining,144,positive
pros excellent,143,positive
pros awesome,142,positive
pretty tough,141,positive
ridiculously fun,139,positive
fairly fun,138,positive
stupid fun,137,positive
pretty realistic,135,positive
pretty smooth,134,positive
fun love,133,positive
pros easy,133,positive
pretty straightforward,132,positive
challenging fun,131,positive
pretty impressive,129,positive
dungeon master,127,positive
freaking love,120,positive
pros free,119,positive
pretty balanced,118,positive
fast fun,117,positive
damn fine,115,positive
perfectly balanced,114,positive
pure awesomeness,114,positive
risk reward,113,positive
boring pretty,112,positive
wow wow,109,positive
win win,108,positive
cheap fun,106,positive
decent variety,106,positive
easy achievements,106,positive
super excited,106,positive
fun nice,105,positive
addicting fun,103,positive
fairly balanced,101,positive
pure joy,101,positive
awesome awesome,100,positive
fun pros,100,positive
stunningly beautiful,99,positive
super smooth,99,positive
award winning,97,positive
poorly balanced,97,positive
solid fun,97,positive
dark humour,96,positive
die instantly,96,positive
fast fast,96,positive
guilty pleasure,96,positive
hard fans,95,positive
pretty satisfying,94,positive
pure gold,93,positive
damn awesome,92,positive
incredibly rewarding,92,positive
nice fun,92,positive
pros decent,92,positive
fairly straightforward,91,positive
pure awesome,91,positive
super cute,91,positive
incredibly enjoyable,90,positive
sweet sweet,90,positive
pretty fair,89,positive
boom boom,88,positive
fun survival,86,positive
broken promises,85,positive
fairly solid,84,positive
super realistic,84,positive
dark decent,82,positive
ridiculously easy,82,positive
skill gems,82,positive
fun exciting,81,positive
free fun,79,positive
pure luck,79,positive
rockstar support,79,positive
silly fun,79,positive
damn cool,77,positive
pretty happy,77,positive
bloody brilliant,76,positive
fairly enjoyable,76,positive
amazingly beautiful,75,positive
pretty fantastic,75,positive
amazing love,74,positive
fun awesome,74,positive
pros fast,74,positive
fantastic fun,72,positive
fun pretty,71,positive
perfectly honest,71,positive
awesome love,70,positive
crude humor,70,positive
lag free,68,positive
pretty cute,68,positive
pros fantastic,68,positive
incredibly fast,67,positive
stress relief,67,positive
awesome free,66,positive
fun engaging,66,positive
nice bonus,66,positive
pretty strong,66,positive
super powerful,66,positive
pros cool,65,positive
fun entertaining,64,positive
pros pretty,64,positive
fun creative,63,positive
pretty accurate,63,positive
pretty hilarious,63,positive
fun enjoyable,62,positive
fun super,62,positive
pretty excited,62,positive
fun top,61,positive
hug award,60,positive
super satisfying,60,positive
fun amazing,59,positive
fun classic,59,positive
hilarious fun,59,positive
plot wise,59,positive
pros solid,59,positive
fun beautiful,58,positive
incredibly beautiful,58,positive
stupidly fun,58,positive
super amazing,58,positive
utterly fantastic,58,positive
bad reputation,57,positive
cool cool,57,positive
easy recommendation,57,positive
love magic,57,positive
loyal fans,57,positive
nice free,57,positive
tough luck,57,positive
beautiful fun,56,positive
freaking fun,56,positive
modern classic,56,positive
oddly satisfying,56,positive
sexy sexy,56,positive
amazing free,55,positive
fun cute,55,positive
gladly recommend,55,positive
super nice,55,positive
cute fun,54,positive
fallout fans,54,positive
fun competitive,54,positive
dumb luck,53,positive
fun cool,52,positive
pros cute,52,positive
awesome fast,51,positive
super super,51,positive
amazing beautiful,50,positive
cool fun,50,positive
damn amazing,50,positive
decent fun,50,positive
pretty smoothly,50,positive
top favorite,50,positive
love survival,49,positive
pretty engaging,49,positive
bloody awesome,48,positive
easy fun,48,positive
hard fun,48,positive
incredible fun,48,positive
insanely fast,48,positive
nice fast,48,positive
nicely balanced,48,positive
amazing worth,47,positive
enjoy survival,47,positive
fairly fast,47,positive
killing fun,47,positive
awesome classic,46,positive
clean fun,46,positive
dumb fun,46,positive
fairly nice,46,positive
fairly realistic,45,positive
pretty pretty,45,positive
pros gorgeous,45,positive
stupidly easy,45,positive
bloody fun,44,positive
fantastically fun,44,positive
laughably easy,44,positive
pretty powerful,44,positive
rift support,44,positive
utterly amazing,44,positive
worth supporting,44,positive
amazing classic,43,positive
brilliant fun,43,positive
excellent fun,43,positive
favorite free,43,positive
fun achievements,43,positive
positive recommendation,43,positive
pretty clever,42,positive
strong recommendation,42,positive
dark magic,41,positive
fun recommended,41,positive
passive bonuses,41,positive
perfectly smooth,41,positive
support gems,41,positive
enjoy fast,40,positive
fairly entertaining,40,positive
insane fun,40,positive
repetitive fast,40,positive
super enjoyable,40,positive
amazing fast,39,positive
awesome worth,39,positive
bitter sweet,39,positive
break free,39,positive
creative freedom,39,positive
incredibly entertaining,39,positive
incredibly realistic,39,positive
pure skill,39,positive
stress free,39,positive
super happy,39,positive
amazing pros,38,positive
easy win,38,positive
incredibly awesome,38,positive
intense fun,38,positive
mad fun,38,positive
nice nice,38,positive
pretty stable,38,positive
pros stunning,38,positive
pure genius,38,positive
wicked fun,38,positive
win free,38,positive
bloody amazing,37,positive
bored fast,37,positive
friggin awesome,37,positive
fun skill,37,positive
incredibly powerful,37,positive
incredibly smooth,37,positive
pretty nicely,37,positive
pretty nifty,37,positive
awesome pros,36,positive
brutally honest,36,positive
difficulty wise,36,positive
flawed gem,36,positive
frustratingly fun,36,positive
love fast,36,positive
love marvel,36,positive
nicely polished,36,positive
pretty intuitive,36,positive
die fast,35,positive
die happy,35,positive
doubt worth,35,positive
fairly smooth,35,positive
false promises,35,positive
fun enjoy,35,positive
funny humor,35,positive
incredibly rich,35,positive
lose progress,35,positive
pretty worth,35,positive
apocalyptic survival,34,positive
pretty awsome,34,positive
pretty creative,34,positive
pretty fine,34,positive
pretty polished,34,positive
solid recommendation,34,positive
super strong,34,positive
award award,33,positive
breathtakingly beautiful,33,positive
challenging achievements,33,positive
classic survival,33,positive
fairly intuitive,33,positive
fun recommend,33,positive
happily recommend,33,positive
incredibly polished,33,positive
incredibly solid,33,positive
nice clean,33,positive
bad pros,32,positive
damn nice,32,positive
free free,32,positive
fun realistic,32,positive
fun rewarding,32,positive
funny fun,32,positive
lost faith,32,positive
nice easy,32,positive
pretty incredible,32,positive
pros realistic,32,positive
pros super,32,positive
witty humor,32,positive
wow nice,32,positive
awesome nice,31,positive
bright colorful,31,positive
bugs galore,31,positive
crazy fast,31,positive
damn solid,31,positive
fun solid,31,positive
lack variety,31,positive
lacks variety,31,positive
pros smooth,31,positive
silly humor,31,positive
amazing awesome,30,positive
amazing masterpiece,30,positive
awesome amazing,30,positive
awesome super,30,positive
badly balanced,30,positive
favorite hero,30,positive
pretty exciting,30,positive
significant improvement,30,positive
zombie fans,30,positive
amazing variety,29,positive
awesome survival,29,positive
beautiful masterpiece,29,positive
bored pretty,29,positive
faith recommend,29,positive
glitch free,29,positive
incredibly engaging,29,positive
pretty smart,29,positive
pure bliss,29,positive
smooth fun,29,positive
stupid easy,29,positive
balanced fun,28,positive
crazy awesome,28,positive
damn easy,28,positive
damn satisfying,28,positive
defiantly worth,28,positive
enjoy classic,28,positive
fairly accurate,28,positive
insanely easy,28,positive
marvel fans,28,positive
nice classic,28,positive
progress faster,28,positive
ridiculous fun,28,positive
significant improvements,28,positive
skill gem,28,positive
super solid,28,positive
sweet love,28,positive
unbelievably fun,28,positive
amazing survival,27,positive
annoying fast,27,positive
cool free,27,positive
cool nice,27,positive
die pretty,27,positive
favorite survival,27,positive
fun cooperative,27,positive
genuine fun,27,positive
happy fun,27,positive
nice improvement,27,positive
pretty amusing,27,positive
pretty reasonable,27,positive
pretty slick,27,positive
super pretty,27,positive
classic fun,26,positive
cons pretty,26,positive
damage boost,26,positive
damn beautiful,26,positive
likes fast,26,positive
love classic,26,positive
pretty rewarding,26,positive
pros incredible,26,positive
pure enjoyment,26,positive
scary fun,26,positive
slow progress,26,positive
super rewarding,26,positive
super sweet,26,positive
blind luck,25,positive
bloody fantastic,25,positive
bloody love,25,positive
critical acclaim,25,positive
die faster,25,positive
drastically improved,25,positive
fans love,25,positive
favorite marvel,25,positive
freaking awsome,25,positive
fun loving,25,positive
heartily recommended,25,positive
incredibly strong,25,positive
love free,25,positive
nice survival,25,positive
polished fun,25,positive
poor support,25,positive
pretty confident,25,positive
pure magic,25,positive
realistic modern,25,positive
utterly brilliant,25,positive
beautiful amazing,24,positive
challenging rewarding,24,positive
challenging survival,24,positive
damage bonus,24,positive
flawed masterpiece,24,positive
fun hilarious,24,positive
fun variety,24,positive
hate fun,24,positive
losing progress,24,positive
nice smooth,24,positive
overkill promised,24,positive
perfectly happy,24,positive
pretty satisfied,24,positive
pure pleasure,24,positive
solid gold,24,positive
strangely satisfying,24,positive
super impressed,24,positive
warmly recommend,24,positive
wow amazing,24,positive
beautiful beautiful,23,positive
challenging fast,23,positive
chaotic fun,23,positive
cloud support,23,positive
dead gorgeous,23,positive
difficult fun,23,positive
difficulty easy,23,positive
enjoyable fun,23,positive
exceptionally fun,23,positive
freaking cool,23,positive
incredibly charming,23,positive
killed instantly,23,positive
pretty hot,23,positive
pretty impressed,23,positive
realistic fun,23,positive
repetitive pretty,23,positive
ridiculously fast,23,positive
safely recommend,23,positive
super effective,23,positive
awesomely fun,22,positive
beautiful love,22,positive
burning passion,22,positive
creative fun,22,positive
damn impressive,22,positive
decent free,22,positive
easy achievement,22,positive
easy easy,22,positive
fair free,22,positive
fairly engaging,22,positive
fairly satisfying,22,positive
free love,22,positive
fun trust,22,positive
hard easy,22,positive
likes survival,22,positive
lost love,22,positive
pure perfection,22,positive
realistic survival,22,positive
stronger faster,22,positive
super polished,22,positive
wholeheartedly recommended,22,positive
wonderful gem,22,positive
addicting fast,21,positive
addicting love,21,positive
astonishingly beautiful,21,positive
bad pretty,21,positive
classic top,21,positive
dedicated fans,21,positive
doom fans,21,positive
easy feat,21,positive
enjoy fun,21,positive
excellent survival,21,positive
fairly reasonable,21,positive
filthy rich,21,positive
flaws pros,21,positive
free easy,21,positive
fun smooth,21,positive
hell fun,21,positive
lose faith,21,positive
promised free,21,positive
pros brilliant,21,positive
super creative,21,positive
tentative recommendation,21,positive
amazing loved,20,positive
broken achievements,20,positive
cheap thrills,20,positive
complex skill,20,positive
damn fast,20,positive
difficulties easy,20,positive
diplomatic victory,20,positive
fun colorful,20,positive
fun incredibly,20,positive
gold gold,20,positive
gritty realistic,20,positive
horrible support,20,positive
incredibly amazing,20,positive
incredibly effective,20,positive
nice colorful,20,positive
nice humor,20,positive
nice skill,20,positive
perfectly polished,20,positive
pros incredibly,20,positive
pure amazing,20,positive
pure love,20,positive
pure survival,20,positive
recommended recommended,20,positive
sincerely recommend,20,positive
solid free,20,positive
super friendly,20,positive
super smart,20,positive
damn pretty,19,positive
damn worth,19,positive
died instantly,19,positive
easy recommend,19,positive
engaging fun,19,positive
excellent free,19,positive
fairly powerful,19,positive
fairly pretty,19,positive
free pros,19,positive
fun clever,19,positive
fun loved,19,positive
fun refreshing,19,positive
funny witty,19,positive
impressive feat,19,positive
insanely awesome,19,positive
limited variety,19,positive
lost progress,19,positive
